name,poi
BELDEN TIMOTHY N,0.061728395061728406
BOWEN JR RAYMOND M,0.31906966490299826
HANNON KEVIN P,0.11378205128205128
DELAINEY DAVID W,0.017948717948717947
CAUSEY RICHARD A,0.392948717948718
HICKERSON GARY J,0.20863010446343777
FREVERT MARK A,0.4875
CHAN RONNIE,0.0006172839506172839
DONAHUE JR JEFFREY M,0.10061728395061728
REYNOLDS LAWRENCE,0.0006172839506172839
HORTON STANLEY C,0.05929487179487179
LEWIS RICHARD,0.0006172839506172839
SHERRICK JEFFREY B,0.0006172839506172839
MEYER JEROME J,0.0006172839506172839
DERRICK JR. JAMES V,0.1
PIRO JIM,0.0006172839506172839
DETMERING TIMOTHY J,0.08811728395061728
KISHKILL JOSEPH G,0.07211538461538461
BAY FRANKLIN R,0.10061728395061728
PRENTICE JAMES,0.050617283950617285
TOTAL,0.65
FALLON JAMES B,0.2176282051282051
METTS MARK,0.0006172839506172839
WODRASKA JOHN,0.0006172839506172839
MORDAUNT KRISTINA M,0.0006172839506172839
CARTER REBECCA C,0.0006172839506172839
BHATNAGAR SANJAY,0.05446343779677113
WALTERS GARETH W,0.0006172839506172839
BIBI PHILIPPE A,0.15029677113010448
SHERRIFF JOHN R,0.16346153846153846
GIBBS DANA R,0.050617283950617285
LINDHOLM TOD A,0.050617283950617285
MCMAHON JEFFREY,0.20478395061728394
