,poi,bonus,deferral_payments,deferred_income,exercised_stock_options,expenses,from_messages,from_poi_to_this_person,from_this_person_to_poi,long_term_incentive,other,restricted_stock,restricted_stock_deferred,salary,shared_receipt_with_poi,to_messages,total_payments,total_stock_value,total_bonus,total_millions,fraction_to_poi,fraction_from_poi
0,True,1750000.0,0.0,-3504386.0,19794175.0,46950.0,18.0,42.0,4.0,1617011.0,174839.0,2748364.0,0.0,420636.0,864.0,905.0,505050.0,22542539.0,21544175.0,23.047589,0.2222222222222222,0.04640883977900553
1,True,5600000.0,0.0,0.0,19250000.0,29336.0,108.0,88.0,30.0,1920000.0,22122.0,6843672.0,0.0,1111258.0,2042.0,3627.0,8682716.0,26093672.0,24850000.0,34.776388,0.2777777777777778,0.0242624758753791
2,True,200000.0,0.0,-4167.0,1624396.0,22884.0,39.0,13.0,14.0,0.0,1573324.0,869220.0,0.0,211844.0,91.0,225.0,2003885.0,2493616.0,1824396.0,4.497501,0.358974358974359,0.057777777777777775
3,True,800000.0,0.0,0.0,0.0,118134.0,0.0,0.0,0.0,602671.0,907502.0,985032.0,0.0,224305.0,0.0,0.0,2652612.0,985032.0,800000.0,3.637644,0.0,0.0
4,True,1250000.0,0.0,-262500.0,0.0,35818.0,144.0,199.0,25.0,375304.0,486.0,126027.0,0.0,240189.0,2188.0,2598.0,1639297.0,126027.0,1250000.0,1.765324,0.1736111111111111,0.07659738260200154
5,True,0.0,10259.0,0.0,30766064.0,77978.0,0.0,0.0,0.0,0.0,2856.0,0.0,0.0,0.0,0.0,0.0,91093.0,30766064.0,30766064.0,30.857157,0.0,0.0
6,True,0.0,0.0,0.0,8308552.0,53947.0,0.0,0.0,0.0,0.0,147950.0,3576206.0,0.0,158403.0,0.0,0.0,360300.0,11884758.0,8308552.0,12.245058,0.0,0.0
7,True,1200000.0,27610.0,-144062.0,0.0,16514.0,40.0,240.0,11.0,0.0,101740.0,698242.0,0.0,288542.0,1132.0,1758.0,1490344.0,698242.0,1200000.0,2.188586,0.275,0.13651877133105803
8,True,7000000.0,202911.0,-300000.0,34348384.0,99832.0,36.0,123.0,16.0,3600000.0,10359729.0,14761694.0,0.0,1072321.0,2411.0,4273.0,103559793.0,49110078.0,41348384.0,152.669871,0.4444444444444444,0.028785396676807865
9,True,600000.0,0.0,0.0,384728.0,125978.0,16.0,52.0,6.0,71023.0,200308.0,393818.0,0.0,274975.0,874.0,873.0,1272284.0,778546.0,984728.0,2.05083,0.375,0.05956471935853379
10,True,700000.0,0.0,0.0,671737.0,127017.0,61.0,53.0,15.0,300000.0,150458.0,1248318.0,0.0,309946.0,2271.0,2374.0,1587421.0,1920055.0,1371737.0,3.507476,0.2459016393442623,0.02232518955349621
11,True,700000.0,214678.0,-100000.0,1635238.0,33271.0,82.0,35.0,48.0,0.0,1950.0,283649.0,0.0,249201.0,1258.0,1328.0,1099100.0,1918887.0,2335238.0,3.017987,0.5853658536585366,0.02635542168674699
12,True,1300000.0,0.0,-1386055.0,0.0,55921.0,0.0,0.0,0.0,1736055.0,277464.0,1794412.0,0.0,440698.0,0.0,0.0,2424083.0,1794412.0,1300000.0,4.218495,0.0,0.0
13,False,750000.0,0.0,0.0,436515.0,0.0,0.0,0.0,0.0,304805.0,819288.0,441096.0,0.0,272880.0,0.0,0.0,2146973.0,877611.0,1186515.0,3.024584,0.0,0.0
14,False,4175000.0,2869717.0,-3081055.0,1729541.0,13868.0,2195.0,47.0,65.0,304805.0,152.0,126027.0,-126027.0,201955.0,1407.0,2902.0,4484442.0,1729541.0,5904541.0,6.213983,0.029612756264236904,0.016195727084769126
15,False,850000.0,0.0,0.0,765313.0,84208.0,14.0,25.0,2.0,831809.0,272.0,189041.0,0.0,248546.0,2326.0,2475.0,2014835.0,954354.0,1615313.0,2.969189,0.14285714285714285,0.010101010101010102
16,False,509870.0,73122.0,-1042.0,83237.0,50080.0,0.0,0.0,0.0,0.0,76547.0,235370.0,0.0,192008.0,0.0,0.0,900585.0,318607.0,593107.0,1.219192,0.0,0.0
17,False,0.0,0.0,0.0,139130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139130.0,139130.0,0.13913,0.0,0.0
18,False,325000.0,0.0,0.0,0.0,22344.0,0.0,0.0,0.0,275000.0,713.0,207940.0,0.0,184899.0,0.0,0.0,807956.0,207940.0,325000.0,1.015896,0.0,0.0
19,False,1000000.0,0.0,0.0,0.0,0.0,63.0,67.0,14.0,1387399.0,3083.0,360528.0,0.0,273746.0,2672.0,2822.0,2664228.0,360528.0,1000000.0,3.024756,0.2222222222222222,0.02374202693125443
20,False,0.0,16586.0,0.0,4452476.0,46145.0,41.0,0.0,0.0,200000.0,426629.0,365320.0,0.0,222093.0,73.0,266.0,911453.0,4817796.0,4452476.0,5.729249,0.0,0.0
21,False,0.0,0.0,0.0,5266578.0,18834.0,0.0,0.0,0.0,135836.0,176.0,2041016.0,0.0,94941.0,0.0,0.0,249787.0,7307594.0,5266578.0,7.557381,0.0,0.0
22,False,500000.0,0.0,0.0,825464.0,600.0,125.0,0.0,0.0,304805.0,1215.0,189041.0,0.0,248017.0,23.0,1088.0,1054637.0,1014505.0,1325464.0,2.069142,0.0,0.0
23,False,0.0,0.0,0.0,757301.0,0.0,13.0,54.0,1.0,0.0,0.0,934065.0,0.0,0.0,720.0,894.0,0.0,1691366.0,757301.0,1.691366,0.07692307692307693,0.06040268456375839
24,False,0.0,0.0,0.0,651850.0,0.0,12.0,10.0,0.0,0.0,0.0,386335.0,0.0,0.0,58.0,764.0,0.0,1038185.0,651850.0,1.038185,0.0,0.013089005235602094
25,False,0.0,0.0,0.0,1753766.0,0.0,0.0,0.0,0.0,0.0,0.0,264013.0,-72419.0,0.0,0.0,0.0,0.0,1945360.0,1753766.0,1.94536,0.0,0.0
26,False,3100000.0,0.0,0.0,81042.0,5774.0,1728.0,251.0,194.0,0.0,93925.0,466101.0,0.0,271442.0,3669.0,8305.0,3471141.0,547143.0,3181042.0,4.018284,0.11226851851851852,0.030222757375075255
27,False,0.0,0.0,-17500.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,653.0,0.0,0.0,0.0,0.0,0.0,0.0
28,False,70000.0,0.0,0.0,0.0,28164.0,14.0,10.0,3.0,0.0,774.0,0.0,0.0,221003.0,114.0,176.0,319941.0,0.0,70000.0,0.319941,0.21428571428571427,0.056818181818181816
29,False,400000.0,0.0,0.0,850010.0,83585.0,14368.0,41.0,171.0,323466.0,4669.0,126027.0,0.0,275101.0,583.0,4607.0,1086821.0,976037.0,1250010.0,2.062858,0.011901447661469933,0.008899500759713479
30,False,0.0,0.0,0.0,98718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98718.0,98718.0,0.098718,0.0,0.0
