name,poi
BELDEN TIMOTHY N,0.8113119511640472
BOWEN JR RAYMOND M,0.25653813049444635
HANNON KEVIN P,0.9960779483121747
DELAINEY DAVID W,0.5747382998387917
CAUSEY RICHARD A,0.09939488697922247
HICKERSON GARY J,0.08868554537065138
FREVERT MARK A,0.9998796158102908
CHAN RONNIE,0.00011558300790135982
DONAHUE JR JEFFREY M,0.2647691194019148
REYNOLDS LAWRENCE,0.008251835819136605
HORTON STANLEY C,9.325723373671831e-05
LEWIS RICHARD,7.170045282738924e-05
SHERRICK JEFFREY B,0.03442583830907021
MEYER JEROME J,7.170045282738924e-05
DERRICK JR. JAMES V,0.49858705953987026
PIRO JIM,7.170045282738924e-05
DETMERING TIMOTHY J,0.0020481394908742627
KISHKILL JOSEPH G,0.1790004098860396
BAY FRANKLIN R,0.06814449723135725
PRENTICE JAMES,7.170045282738924e-05
TOTAL,0.0
FALLON JAMES B,0.8398179837470502
METTS MARK,0.0008240575815480515
WODRASKA JOHN,0.000974143519738094
MORDAUNT KRISTINA M,0.0007069831473330137
CARTER REBECCA C,0.014413556318233243
BHATNAGAR SANJAY,0.16995532600455054
WALTERS GARETH W,0.0004536335775837695
BIBI PHILIPPE A,0.0378733574670299
SHERRIFF JOHN R,0.626667298641816
GIBBS DANA R,7.170045282738924e-05
LINDHOLM TOD A,0.004561843951580702
MCMAHON JEFFREY,0.9705285330910719
