name,poi
BELDEN TIMOTHY N,0.16892868226655816
BOWEN JR RAYMOND M,0.9384273281286716
HANNON KEVIN P,0.7334036106213982
DELAINEY DAVID W,0.4913767739298562
CAUSEY RICHARD A,0.986424171655145
HICKERSON GARY J,0.39800175612244126
FREVERT MARK A,0.8817756397068601
CHAN RONNIE,3.7350363707892844e-10
DONAHUE JR JEFFREY M,0.2687332416657026
REYNOLDS LAWRENCE,0.10767555014076571
HORTON STANLEY C,0.02507908976495875
LEWIS RICHARD,3.7724735514199876e-13
SHERRICK JEFFREY B,0.05013589320044604
MEYER JEROME J,3.7350363707892844e-10
DERRICK JR. JAMES V,0.17890187668468213
PIRO JIM,2.6223699035920716e-11
DETMERING TIMOTHY J,0.09975455514010481
KISHKILL JOSEPH G,0.5469465780822645
BAY FRANKLIN R,0.04052851086368953
PRENTICE JAMES,0.00400000000082077
TOTAL,0.0
FALLON JAMES B,0.9234569842868
METTS MARK,0.09478183792998914
WODRASKA JOHN,0.010878307040623331
MORDAUNT KRISTINA M,0.02153118031976096
CARTER REBECCA C,0.08058661336529613
BHATNAGAR SANJAY,0.12805160999014936
WALTERS GARETH W,0.008736183366337398
BIBI PHILIPPE A,0.8194096475155963
SHERRIFF JOHN R,0.15503062606136453
GIBBS DANA R,0.01730956703377645
LINDHOLM TOD A,0.17974411432057852
MCMAHON JEFFREY,0.8832443864427058
