name,poi
BELDEN TIMOTHY N,0.2196940707448807
BOWEN JR RAYMOND M,0.9910096463043087
HANNON KEVIN P,0.9796942630830882
DELAINEY DAVID W,0.15435662916366155
CAUSEY RICHARD A,0.9995684233041413
HICKERSON GARY J,0.0342948343402187
FREVERT MARK A,0.9418635059040862
CHAN RONNIE,0.00037163573366006373
DONAHUE JR JEFFREY M,0.8581899479138203
REYNOLDS LAWRENCE,0.011143410757899017
HORTON STANLEY C,0.0007267559603692319
LEWIS RICHARD,0.0002662309139542808
SHERRICK JEFFREY B,0.0010339409914835401
MEYER JEROME J,0.00037163573366006373
DERRICK JR. JAMES V,0.2248914010993214
PIRO JIM,0.00019995898459267513
DETMERING TIMOTHY J,0.006331667017244397
KISHKILL JOSEPH G,0.12540122177967034
BAY FRANKLIN R,0.0021733072203830753
PRENTICE JAMES,0.00026158876653897383
TOTAL,0.0
FALLON JAMES B,0.9782434094649497
METTS MARK,0.008770469446847754
WODRASKA JOHN,0.0006317810454408901
MORDAUNT KRISTINA M,0.0005345672680331325
CARTER REBECCA C,0.005045506723785569
BHATNAGAR SANJAY,0.025999826527645115
WALTERS GARETH W,0.0006402503006401025
BIBI PHILIPPE A,0.2909982042428127
SHERRIFF JOHN R,0.04531320379683208
GIBBS DANA R,0.0006721798324507096
LINDHOLM TOD A,0.18257505669530302
MCMAHON JEFFREY,0.910571077647389
