name,poi
BELDEN TIMOTHY N,0.7461954512868267
BOWEN JR RAYMOND M,0.5108535688354678
HANNON KEVIN P,0.826787603303648
DELAINEY DAVID W,0.5186471111945966
CAUSEY RICHARD A,0.23862865417666654
HICKERSON GARY J,0.6805242451422738
FREVERT MARK A,0.6378831328965703
CHAN RONNIE,0.011567273067008594
DONAHUE JR JEFFREY M,0.3738419202635031
REYNOLDS LAWRENCE,0.06333920329840943
HORTON STANLEY C,0.04685819253632854
LEWIS RICHARD,0.01186524472157297
SHERRICK JEFFREY B,0.24846583545177578
MEYER JEROME J,0.011567273067008594
DERRICK JR. JAMES V,0.49934148749060897
PIRO JIM,0.010990349990085515
DETMERING TIMOTHY J,0.03897197083394739
KISHKILL JOSEPH G,0.21018677404146083
BAY FRANKLIN R,0.19852871226311006
PRENTICE JAMES,0.013151869861139285
TOTAL,0.0
FALLON JAMES B,0.5963480527071793
METTS MARK,0.10537782839905224
WODRASKA JOHN,0.04068389433565281
MORDAUNT KRISTINA M,0.029677477018571038
CARTER REBECCA C,0.026769934196338933
BHATNAGAR SANJAY,0.29615261417773536
WALTERS GARETH W,0.02470941387918959
BIBI PHILIPPE A,0.14109110952123757
SHERRIFF JOHN R,0.4510201436181416
GIBBS DANA R,0.01876023324277716
LINDHOLM TOD A,0.10529228807925425
MCMAHON JEFFREY,0.7416827361399959
